filename,topic,subtopic,Concept,video_url,summary
transcript.txt,Introduction,Introduction,Introduction,https://d1e5r329t7a85t.cloudfront.net/5d718950-24bf-11ef-b2b7-8b0d22706ed5.mp4,""
transcript_1.txt,Inverse of a Non-singular Matrix,Adjoint of a Square Matrix,Adjoint of a Square Matrix,https://d1e5r329t7a85t.cloudfront.net/12cce700-f97d-11ed-8ddb-899932d0ef8a.mp4,""
transcript_2.txt,Inverse of a Non-singular Matrix,Adjoint of a Square Matrix,Adjoint of a Square Matrix,https://d1e5r329t7a85t.cloudfront.net/9321f420-1da5-11ef-9c97-cd45dc24dae4.mp4,""
transcript_3.txt,Inverse of a Non-singular Matrix,Adjoint of a Square Matrix,Theorem-1.1,https://d1e5r329t7a85t.cloudfront.net/42fe2030-26ed-11ef-b4b6-3dbc8978c86a.mp4,""
transcript_4.txt,Inverse of a Non-singular Matrix,Inverse matrix of a Square Matix,Inverse matrix of a Square Matix,https://d1e5r329t7a85t.cloudfront.net/d5dfccc0-0c47-11ef-a9de-11e9ceb91a33.mp4,""
transcript_5.txt,Inverse of a Non-singular Matrix,Properties of Inverse of Matrices,Theorem-1.4,https://d1e5r329t7a85t.cloudfront.net/cbf73f00-f97d-11ed-8ddb-899932d0ef8a.mp4,""
transcript_6.txt,Inverse of a Non-singular Matrix,Properties of Inverse of Matrices,Theorem-1.4,https://d1e5r329t7a85t.cloudfront.net/4cbd2ea0-0c48-11ef-910d-a3628af0da89.mp4,""
transcript_7.txt,Inverse of a Non-singular Matrix,Properties of Inverse of Matrices,Left Cancellation Law,https://d1e5r329t7a85t.cloudfront.net/d7839c40-0c48-11ef-910d-a3628af0da89.mp4,""
transcript_8.txt,Inverse of a Non-singular Matrix,Applications of Matrices to Geometry,Applications of Matrices to Geometry,https://d1e5r329t7a85t.cloudfront.net/5ca30c30-0c49-11ef-910d-a3628af0da89.mp4,""
transcript_9.txt,Inverse of a Non-singular Matrix,Applications of Matrices to Geometry,Applications of Matrices to Geometry,https://d1e5r329t7a85t.cloudfront.net/27f0d770-b7ba-11ef-ba14-87f2a73df089.mp4,""
transcript_10.txt,Inverse of a Non-singular Matrix,Applications of Matrices to Geometry,Orthogonal Matrix,https://d1e5r329t7a85t.cloudfront.net/54489c60-0c4b-11ef-910d-a3628af0da89.mp4,""
transcript_11.txt,Inverse of a Non-singular Matrix,Applications of Matrices to Cryptography,Cryptography,https://d1e5r329t7a85t.cloudfront.net/1cd7b930-05f9-11ef-8f49-15e4de544abe.mp4,""
transcript_12.txt,Inverse of a Non-singular Matrix,Applications of Matrices to Cryptography,Cryptography,https://d1e5r329t7a85t.cloudfront.net/db79fc60-0c4b-11ef-910d-a3628af0da89.mp4,""
transcript_13.txt,Inverse of a Non-singular Matrix,Applications of Matrices to Cryptography,Encryption and Decryption,https://d1e5r329t7a85t.cloudfront.net/2132b0c0-0c4d-11ef-910d-a3628af0da89.mp4,""
transcript_14.txt,Elementary Transformations of a Matrix,Row-Echelon Form,Row-Echelon form and Method to reduce a matrix to a row-echelon form,https://d1e5r329t7a85t.cloudfront.net/a5b98230-c7f0-11ed-b625-5509d2b9239d.mp4,""
transcript_15.txt,Applications of Matrices: Solving System of Linear Equations,System of Linear Equations in Matrix Form,System of Linear Equations in Matrix Form,https://d1e5r329t7a85t.cloudfront.net/221e4550-acd7-11ef-be27-abf14b2aac8e.mp4,""
transcript_16.txt,Applications of Matrices: Solving System of Linear Equations,Solution to a System of Linear Equations,Unique Solution,https://d1e5r329t7a85t.cloudfront.net/2edd41e0-61f8-11ee-a055-a177d4fb7df5.mp4,""
transcript_17.txt,Applications of Matrices: Solving System of Linear Equations,Gaussian Elimination Method,Method of Back Substitution,https://d1e5r329t7a85t.cloudfront.net/f8298b80-3db2-11ef-859b-4d2d3d93a1f2.mp4,""
transcript_18.txt,Applications of Matrices: Consistency of system of linear equations by rank method,Non-homogeneous Linear Equations,Rouche-Capelli Theorem,https://d1e5r329t7a85t.cloudfront.net/69236b00-53f0-11ef-9d71-278ae97dfe81.mp4,""
transcript_19.txt,Inverse of a Non-singular Matrix,Adjoint of a Square Matrix,Matrices,https://d1e5r329t7a85t.cloudfront.net/a2085340-73ee-11ef-a990-271b09c1d648.mp4,""
transcript_20.txt,Inverse of a Non-singular Matrix,Adjoint of a Square Matrix,Operation of Transpose of a Matrix and its Properties,https://d1e5r329t7a85t.cloudfront.net/8cdc1472237e42a19b42fd70da6085c4.mp4,""
transcript_21.txt,Inverse of a Non-singular Matrix,Adjoint of a Square Matrix,Properties of Matrix Addition Scalar Multiplication and Product of Matrices,https://d1e5r329t7a85t.cloudfront.net/c12dcb60-56e8-11ef-81b5-2ba982cc8e9a.mp4,""
transcript_22.txt,Inverse of a Non-singular Matrix,Adjoint of a Square Matrix,Properties of Matrix Addition Scalar Multiplication and Product of Matrices,https://d1e5r329t7a85t.cloudfront.net/30ad4290-782c-11ef-b2d3-6982263e9345.mp4,""
transcript_23.txt,Inverse of a Non-singular Matrix,Adjoint of a Square Matrix,Algebraic Operations on Matrices,https://d1e5r329t7a85t.cloudfront.net/db02e540-427d-11ef-8844-df6442746750.mp4,""
transcript_24.txt,Inverse of a Non-singular Matrix,Applications of Matrices to Geometry,Symmetric and Skew-symmetric Matrices,https://d1e5r329t7a85t.cloudfront.net/0d7964b975c946c59d2f2ca8a34a1027.mp4,""
transcript_25.txt,Inverse of a Non-singular Matrix,Adjoint of a Square Matrix,Finding Order of a (mxn) matrix,https://d1e5r329t7a85t.cloudfront.net/908e6540-3641-11ef-9d34-d380b1681f8b.mp4,""
transcript_26.txt,Inverse of a Non-singular Matrix,Applications of Matrices to Cryptography,Row matrix,https://d1e5r329t7a85t.cloudfront.net/f247a8d0-56fa-11ef-8053-03169634ebb0.mp4,""
transcript_27.txt,Applications of Matrices: Solving System of Linear Equations,Solution to a System of Linear Equations,Indirect variation,https://d1e5r329t7a85t.cloudfront.net/91fd2ae0-56d7-11ef-9cea-97c708fd062f.mp4,""
transcript_28.txt,Applications of Matrices: Solving System of Linear Equations,Gaussian Elimination Method,Methods of Solving Simultaneous Linear Equations by Substitution Method,https://d1e5r329t7a85t.cloudfront.net/5c5a4da0-a723-11ee-b1a2-cf2361620b63.mp4,""
transcript_29.txt,Inverse of a Non-singular Matrix,Adjoint of a Square Matrix,MULTIPLICATIVE INVERSE,https://d1e5r329t7a85t.cloudfront.net/7afc2cd0-22fa-11ef-8a24-c31d0f3cb291.mp4,""
transcript_30.txt,Inverse of a Non-singular Matrix,Adjoint of a Square Matrix,Associative Property for Multiplication,https://d1e5r329t7a85t.cloudfront.net/2d496740-10be-11ee-a8ad-dfa70e8330a3.mp4,""
transcript_31.txt,Inverse of a Non-singular Matrix,Properties of Inverse of Matrices,Commutative Property for Multiplication,https://d1e5r329t7a85t.cloudfront.net/15cb0450-2489-11ee-b730-734fe8000a09.mp4,""
transcript_32.txt,Applications of Matrices: Solving System of Linear Equations,Solution to a System of Linear Equations,LINEAR EQUATION IN ONE VARIABLE,https://d1e5r329t7a85t.cloudfront.net/ba362250-1687-11ee-9d61-c9acbfac9a8a.mp4,""
transcript_33.txt,Applications of Matrices: Solving System of Linear Equations,Solution to a System of Linear Equations,LINEAR EQUATIONS IN ONE VARIABLES,https://d1e5r329t7a85t.cloudfront.net/71dfa740-9d97-11ef-9160-6d93e3d82b87.mp4,""
transcript_34.txt,Applications of Matrices: Solving System of Linear Equations,Solution to a System of Linear Equations,LINEAR EQUATIONS,https://d1e5r329t7a85t.cloudfront.net/a26ff820-7582-11ef-b73b-bde9e2329871.mp4,""
transcript_35.txt,Applications of Matrices: Solving System of Linear Equations,Solution to a System of Linear Equations,SOLUTION OF A LINEAR EQUATION,https://d1e5r329t7a85t.cloudfront.net/cd6d50e0-a7b4-11ef-9be5-9f3c23dc2a72.mp4,""
transcript_36.txt,Applications of Matrices: Solving System of Linear Equations,Solution to a System of Linear Equations,TO OBTAIN A STRAIGHT LINE,https://d1e5r329t7a85t.cloudfront.net/0649c2f0-7267-11ef-83fb-299c681b2813.mp4,""
transcript_37.txt,Applications of Matrices: Solving System of Linear Equations,Solution to a System of Linear Equations,GRAPH OF A LINEAR FUNCTION IN TWO VARIABLES,https://d1e5r329t7a85t.cloudfront.net/bb96b480-e2c7-11ef-b29c-d1fc5ada0503.mp4,""
transcript_38.txt,Applications of Matrices: Solving System of Linear Equations,Solution to a System of Linear Equations,Construction of linear equations,https://d1e5r329t7a85t.cloudfront.net/e25ede40-1a62-11ef-b15b-29cd2b178e51.mp4,""
transcript_39.txt,Applications of Matrices: Solving System of Linear Equations,Solution to a System of Linear Equations,Solving an equation,https://d1e5r329t7a85t.cloudfront.net/0a34c00749aa4707bb295fad13911d3c.mp4,""
transcript_40.txt,Applications of Matrices: Solving System of Linear Equations,Solution to a System of Linear Equations,Solving an equation,https://d1e5r329t7a85t.cloudfront.net/d7fab780-7a0d-11ee-87ab-dfc330e13598.mp4,""
